Variable	Attribute	Value	Proposed name	example value	notes
solar_actinic_flux
	name	solar_actinic_flux
	type	float32
	dimension	time
	units	cm-2 s-1 nm-1
	standard_name		solar_actinic_flux
	long_name	Solar Actinic Flux
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude

photolysis_frquencies
	name	photolysis_frquencies
	type	float32
	dimension	time
	units	s-1
	standard_name		photolysis_frquencies
	long_name	Photolysis Frquencies (j(NO2))
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude

qc_flag
	name	qc_flag
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used good_data  suspect_data_unspecified_instrument_performance_issues_contact_data_originator_for_more_information suspect_data_time_stamp_error
