Variable	Attribute	Value	Proposed name	example value	notes
altitude
	type	float32
	dimension	altitude
	units	m
	standard_name	altitude
	long_name	Geometric height above geoid (WGS84).
	_FillValue	-1.00E+20
	axis	Z
	valid_min	<derived from file>			centre of lowest gate + platform deployment height
	valid_max	<derived from file>			centre of highest gate + platform deployment height
	coordinates	latitude longitude

mole_fraction_of_ozone_in_air
	type	float32
	dimension	time, altitude
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units			mmol mol-1|micro mol mol-1|nmol mol-1|pmol mol-1	Practical_units must be given and must match units multiplier
	standard_name	mole_fraction_of_ozone_in_air
	long_name	Mole Fraction of Ozone in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	O3

mass_fraction_of_ozone_in_air								qc_flag_o3
	type	float32							name	qc_flag_o3
	dimension	time, altitude							type	byte
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given				dimension	time, index
	practical_units			ppm|ppb|ppt	Practical_units must be given and must match units multiplier				units	1
	standard_name	mass_fraction_of_ozone_in_air							standard_name
	long_name	Mass Fraction of Ozone in air							long_name	Data Quality flag
	_FillValue	-1.00E+20							flag_values	0b,1b, 2b, 3b
	valid_min	<derived from file>							flag_meanings	not_used|good_data |bad_data_no ozone_wavelengths_available|bad_data_gate_index_exceeds_number_of_measurement_gates_in_use
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	O3

mole_concentration_of_ozone_in_air
	type	float32
	dimension	time, altitude
	units	mol m-3
	standard_name	mole_concentration_of_ozone_in_air
	long_name	Mole Concentration of Ozone in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	O3

mass_concentration_of_ozone_in_air
	type	float32
	dimension	time, altitude
	units	kg m-3
	standard_name	mass_concentration_of_ozone_in_air
	long_name	Mass Concentration of Ozone in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	O3

qc_flag
	name	qc_flag_o3
	type	byte
	dimension	time, altitude
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_no ozone_wavelengths_available|bad_data_gate_index_exceeds_number_of_measurement_gates_in_use
